Motion Sensor Data File Oct 15, 2024 2:31 PM
Time (s)	Distance (cm)	Dist Error (cm)
11.450	27.214	0.239
11.460	26.999	0.239
11.470	26.775	0.239
11.480	26.525	0.239
11.490	26.271	0.239
11.500	26.017	0.239
11.510	25.733	0.239
11.520	25.449	0.239
11.530	25.178	0.239
11.540	24.889	0.239
11.550	24.618	0.239
11.560	24.334	0.239
11.570	24.054	0.239
11.580	23.792	0.239
11.590	23.525	0.239
11.600	23.271	0.239
11.610	23.039	0.239
11.620	22.806	0.239
11.630	22.595	0.239
11.640	22.410	0.239
11.650	22.233	0.239
11.660	22.069	0.239
11.670	21.949	0.239
11.680	21.828	0.239
11.690	21.755	0.239
11.700	21.686	0.239
11.710	21.642	0.239
11.720	21.638	0.239
11.730	21.638	0.239
11.740	21.667	0.239
11.750	21.727	0.239
11.760	21.800	0.239
11.770	21.894	0.239
11.780	22.031	0.239
11.790	22.164	0.239
11.800	22.336	0.239
11.810	22.529	0.239
11.820	22.727	0.239
11.830	22.959	0.239
11.840	23.186	0.239
11.850	23.427	0.239
11.860	23.697	0.239
11.870	23.959	0.239
11.880	24.234	0.239
11.890	24.518	0.239
11.900	24.793	0.239
11.910	25.072	0.239
11.920	25.368	0.239
11.930	25.638	0.239
11.940	25.909	0.239
11.950	26.180	0.239
11.960	26.437	0.239
11.970	26.695	0.239
11.980	26.923	0.239
11.990	27.137	0.239
12.000	27.352	0.239
12.010	27.528	0.239
12.020	27.691	0.239
12.030	27.846	0.239
12.040	27.961	0.239
12.050	28.060	0.239
12.060	28.150	0.239
12.070	28.197	0.239
12.080	28.226	0.239
12.090	28.239	0.239
12.100	28.217	0.239
12.110	28.187	0.239
12.120	28.122	0.239
12.130	28.023	0.239
12.140	27.919	0.239
12.150	27.786	0.239
12.160	27.627	0.239
12.170	27.459	0.239
12.180	27.260	0.239
12.190	27.050	0.239
12.200	26.830	0.239
12.210	26.584	0.239
12.220	26.335	0.239
12.230	26.076	0.239
12.240	25.797	0.239
12.250	25.530	0.239
12.260	25.250	0.239
12.270	24.966	0.239
12.280	24.691	0.239
12.290	24.406	0.239
12.300	24.123	0.239
12.310	23.860	0.239
12.320	23.593	0.239
12.330	23.335	0.239
12.340	23.098	0.239
12.350	22.861	0.239
12.360	22.650	0.239
12.370	22.456	0.239
12.380	22.280	0.239
12.390	22.120	0.239
12.400	21.987	0.239
12.410	21.857	0.239
12.420	21.776	0.239
12.430	21.706	0.239
12.440	21.659	0.239
12.450	21.641	0.239
12.460	21.637	0.239
12.470	21.658	0.239
12.480	21.713	0.239
12.490	21.778	0.239
12.500	21.868	0.239
12.510	22.009	0.239
12.520	22.133	0.239
12.530	22.314	0.239
12.540	22.477	0.239
12.550	22.683	0.239
12.560	22.902	0.239
12.570	23.125	0.239
12.580	23.370	0.239
12.590	23.632	0.239
12.600	23.890	0.239
12.610	24.156	0.239
12.620	24.444	0.239
12.630	24.723	0.239
12.640	25.002	0.239
12.650	25.294	0.239
12.660	25.565	0.239
12.670	25.844	0.239
12.680	26.110	0.239
12.690	26.372	0.239
12.700	26.626	0.239
12.710	26.857	0.239
12.720	27.076	0.239
12.730	27.291	0.239
12.740	27.476	0.239
12.750	27.643	0.239
12.760	27.802	0.239
12.770	27.926	0.239
12.780	28.033	0.239
12.790	28.123	0.239
12.800	28.179	0.239
12.810	28.221	0.239
12.820	28.230	0.239
12.830	28.217	0.239
12.840	28.190	0.239
12.850	28.130	0.239
12.860	28.044	0.239
12.870	27.944	0.239
12.880	27.815	0.239
12.890	27.660	0.239
12.900	27.501	0.239
12.910	27.311	0.239
12.920	27.100	0.239
12.930	26.885	0.239
12.940	26.653	0.239
12.950	26.411	0.239
12.960	26.144	0.239
12.970	25.874	0.239
12.980	25.615	0.239
12.990	25.331	0.239
13.000	25.043	0.239
13.010	24.767	0.239
13.020	24.479	0.239
13.030	24.199	0.239
13.040	23.932	0.239
13.050	23.665	0.239
13.060	23.403	0.239
13.070	23.166	0.239
13.080	22.933	0.239
13.090	22.722	0.239
13.100	22.511	0.239
13.110	22.331	0.239
13.120	22.167	0.239
13.130	22.029	0.239
13.140	21.899	0.239
13.150	21.805	0.239
13.160	21.723	0.239
13.170	21.671	0.239
13.180	21.649	0.239
13.190	21.640	0.239
13.200	21.653	0.239
13.210	21.704	0.239
13.220	21.764	0.239
13.230	21.858	0.239
13.240	21.970	0.239
13.250	22.099	0.239
13.260	22.266	0.239
13.270	22.429	0.239
13.280	22.626	0.239
13.290	22.837	0.239
13.300	23.064	0.239
13.310	23.300	0.239
13.320	23.558	0.239
13.330	23.816	0.239
13.340	24.078	0.239
13.350	24.361	0.239
13.360	24.640	0.239
13.370	24.928	0.239
13.380	25.207	0.239
13.390	25.482	0.239
13.400	25.766	0.239
13.410	26.036	0.239
13.420	26.290	0.239
13.430	26.547	0.239
13.440	26.788	0.239
13.450	27.011	0.239
13.460	27.226	0.239
13.470	27.419	0.239
13.480	27.586	0.239
13.490	27.749	0.239
13.500	27.882	0.239
13.510	28.002	0.239
13.520	28.088	0.239
13.530	28.152	0.239
13.540	28.204	0.239
13.550	28.220	0.239
13.560	28.216	0.239
13.570	28.194	0.239
13.580	28.138	0.239
13.590	28.056	0.239
13.600	27.961	0.239
13.610	27.840	0.239
13.620	27.694	0.239
13.630	27.538	0.239
13.640	27.354	0.239
13.650	27.160	0.239
13.660	26.940	0.239
13.670	26.708	0.239
13.680	26.466	0.239
13.690	26.208	0.239
13.700	25.946	0.239
13.710	25.683	0.239
13.720	25.399	0.239
13.730	25.111	0.239
13.740	24.835	0.239
13.750	24.551	0.239
13.760	24.271	0.239
13.770	24.004	0.239
13.780	23.729	0.239
13.790	23.479	0.239
13.800	23.229	0.239
13.810	22.993	0.239
13.820	22.778	0.239
13.830	22.566	0.239
13.840	22.377	0.239
13.850	22.218	0.239
13.860	22.067	0.239
13.870	21.933	0.239
13.880	21.834	0.239
13.890	21.748	0.239
13.900	21.687	0.239
13.910	21.661	0.239
13.920	21.644	0.239
13.930	21.665	0.239
13.940	21.695	0.239
13.950	21.746	0.239
13.960	21.840	0.239
13.970	21.948	0.239
13.980	22.072	0.239
13.990	22.226	0.239
14.000	22.394	0.239
14.010	22.578	0.239
14.020	22.784	0.239
14.030	23.008	0.239
14.040	23.235	0.239
14.050	23.489	0.239
14.060	23.746	0.239
14.070	24.025	0.239
14.080	24.292	0.239
14.090	24.566	0.239
14.100	24.854	0.239
14.110	25.133	0.239
14.120	25.408	0.239
14.130	25.696	0.239
14.140	25.963	0.239
14.150	26.216	0.239
14.160	26.478	0.239
14.170	26.722	0.239
14.180	26.946	0.239
14.190	27.165	0.239
14.200	27.362	0.239
14.210	27.547	0.239
14.220	27.705	0.239
14.230	27.843	0.239
14.240	27.967	0.239
14.250	28.066	0.239
14.260	28.130	0.239
14.270	28.190	0.239
14.280	28.207	0.239
14.290	28.206	0.239
14.300	28.193	0.239
14.310	28.146	0.239
14.320	28.072	0.239
14.330	27.986	0.239
14.340	27.865	0.239
14.350	27.727	0.239
14.360	27.577	0.239
14.370	27.400	0.239
14.380	27.210	0.239
14.390	26.995	0.239
14.400	26.763	0.239
14.410	26.526	0.239
14.420	26.276	0.239
14.430	26.014	0.239
14.440	25.751	0.239
14.450	25.467	0.239
14.460	25.187	0.239
14.470	24.912	0.239
14.480	24.628	0.239
14.490	24.339	0.239
14.500	24.072	0.239
14.510	23.801	0.239
14.520	23.552	0.239
14.530	23.297	0.239
14.540	23.052	0.239
14.550	22.833	0.239
14.560	22.630	0.239
14.570	22.428	0.239
14.580	22.264	0.239
14.590	22.105	0.239
14.600	21.967	0.239
14.610	21.859	0.239
14.620	21.768	0.239
14.630	21.700	0.239
14.640	21.665	0.239
14.650	21.647	0.239
14.660	21.660	0.239
14.670	21.685	0.239
14.680	21.732	0.239
14.690	21.818	0.239
14.700	21.917	0.239
14.710	22.037	0.239
14.720	22.178	0.239
14.730	22.346	0.239
14.740	22.517	0.239
14.750	22.728	0.239
14.760	22.942	0.239
14.770	23.165	0.239
14.780	23.419	0.239
14.790	23.668	0.239
14.800	23.943	0.239
14.810	24.213	0.239
14.820	24.480	0.239
14.830	24.772	0.239
14.840	25.055	0.239
14.850	25.330	0.239
14.860	25.614	0.239
14.870	25.880	0.239
14.880	26.138	0.239
14.890	26.412	0.239
14.900	26.648	0.239
14.910	26.876	0.239
14.920	27.108	0.239
14.930	27.301	0.239
14.940	27.494	0.239
14.950	27.658	0.239
14.960	27.799	0.239
14.970	27.932	0.239
14.980	28.030	0.239
14.990	28.108	0.239
15.000	28.172	0.239
15.010	28.202	0.239
15.020	28.206	0.239
15.030	28.197	0.239
15.040	28.158	0.239
15.050	28.088	0.239
15.060	28.011	0.239
15.070	27.895	0.239
15.080	27.778	0.239
15.090	27.619	0.239
15.100	27.442	0.239
15.110	27.261	0.239
15.120	27.050	0.239
15.130	26.822	0.239
15.140	26.594	0.239
15.150	26.349	0.239
15.160	26.082	0.239
15.170	25.819	0.239
15.180	25.544	0.239
15.190	25.259	0.239
15.200	24.993	0.239
15.210	24.704	0.239
15.220	24.433	0.239
15.230	24.154	0.239
15.240	23.882	0.239
15.250	23.628	0.239
15.260	23.370	0.239
15.270	23.120	0.239
15.280	22.905	0.239
15.290	22.690	0.239
15.300	22.483	0.239
15.310	22.319	0.239
15.320	22.147	0.239
15.330	22.013	0.239
15.340	21.897	0.239
15.350	21.798	0.239
15.360	21.737	0.239
15.370	21.685	0.239
15.380	21.660	0.239
15.390	21.663	0.239
15.400	21.680	0.239
15.410	21.723	0.239
15.420	21.796	0.239
15.430	21.886	0.239
15.440	22.006	0.239
15.450	22.143	0.239
15.460	22.302	0.239
15.470	22.469	0.239
15.480	22.679	0.239
15.490	22.885	0.239
15.500	23.122	0.239
15.510	23.358	0.239
15.520	23.603	0.239
15.530	23.873	0.239
15.540	24.140	0.239
15.550	24.410	0.239
15.560	24.698	0.239
15.570	24.977	0.239
15.580	25.252	0.239
15.590	25.536	0.239
15.600	25.806	0.239
15.610	26.072	0.239
15.620	26.338	0.239
15.630	26.579	0.239
15.640	26.820	0.239
15.650	27.043	0.239
15.660	27.240	0.239
15.670	27.442	0.239
15.680	27.605	0.239
15.690	27.755	0.239
15.700	27.892	0.239
15.710	27.996	0.239
15.720	28.081	0.239
15.730	28.150	0.239
15.740	28.188	0.239
15.750	28.196	0.239
15.760	28.196	0.239
15.770	28.157	0.239
15.780	28.114	0.239
15.790	28.027	0.239
15.800	27.919	0.239
15.810	27.803	0.239
15.820	27.652	0.239
15.830	27.480	0.239
15.840	27.308	0.239
15.850	27.101	0.239
15.860	26.877	0.239
15.870	26.658	0.239
15.880	26.408	0.239
15.890	26.141	0.239
15.900	25.887	0.239
15.910	25.616	0.239
15.920	25.349	0.239
15.930	25.065	0.239
15.940	24.777	0.239
15.950	24.505	0.239
15.960	24.226	0.239
15.970	23.950	0.239
15.980	23.696	0.239
15.990	23.438	0.239
16.000	23.184	0.239
16.010	22.965	0.239
16.020	22.745	0.239
16.030	22.534	0.239
16.040	22.366	0.239
16.050	22.194	0.239
16.060	22.064	0.239
16.070	21.935	0.239
16.080	21.823	0.239
16.090	21.758	0.239
16.100	21.702	0.239
16.110	21.667	0.239
16.120	21.667	0.239
16.130	21.679	0.239
16.140	21.714	0.239
16.150	21.782	0.239
16.160	21.863	0.239
16.170	21.979	0.239
16.180	22.117	0.239
16.190	22.267	0.239
16.200	22.443	0.239
16.210	22.636	0.239
16.220	22.829	0.239
16.230	23.065	0.239
16.240	23.297	0.239
16.250	23.537	0.239
16.260	23.804	0.239
16.270	24.066	0.239
16.280	24.336	0.239
16.290	24.624	0.239
16.300	24.899	0.239
16.310	25.174	0.239
16.320	25.462	0.239
16.330	25.736	0.239
16.340	26.015	0.239
16.350	26.265	0.239
16.360	26.509	0.239
16.370	26.763	0.239
16.380	26.982	0.239
16.390	27.184	0.239
16.400	27.390	0.239
16.410	27.561	0.239
16.420	27.711	0.239
16.430	27.853	0.239
16.440	27.965	0.239
16.450	28.054	0.239
16.460	28.127	0.239
16.470	28.174	0.239
16.480	28.200	0.239
16.490	28.191	0.239
16.500	28.165	0.239
16.510	28.122	0.239
16.520	28.044	0.239
16.530	27.940	0.239
16.540	27.833	0.239
16.550	27.690	0.239
16.560	27.522	0.239
16.570	27.354	0.239
16.580	27.148	0.239
16.590	26.932	0.239
16.600	26.713	0.239
