Motion Sensor Data File Oct 15, 2024 2:31 PM
Time (s)	Distance (cm)	Dist Error (cm)
2.620	27.939	0.239
2.630	27.793	0.239
2.640	27.612	0.239
2.650	27.435	0.239
2.660	27.224	0.239
2.670	27.009	0.239
2.680	26.768	0.239
2.690	26.505	0.239
2.700	26.251	0.239
2.710	25.980	0.239
2.720	25.696	0.239
2.730	25.416	0.239
2.740	25.119	0.239
2.750	24.826	0.239
2.760	24.547	0.239
2.770	24.254	0.239
2.780	23.970	0.239
2.790	23.703	0.239
2.800	23.432	0.239
2.810	23.187	0.239
2.820	22.941	0.239
2.830	22.704	0.239
2.840	22.502	0.239
2.850	22.308	0.239
2.860	22.127	0.239
2.870	21.990	0.239
2.880	21.847	0.239
2.890	21.735	0.239
2.900	21.662	0.239
2.910	21.597	0.239
2.920	21.554	0.239
2.930	21.545	0.239
2.940	21.558	0.239
2.950	21.604	0.239
2.960	21.664	0.239
2.970	21.742	0.239
2.980	21.862	0.239
2.990	21.994	0.239
3.000	22.140	0.239
3.010	22.329	0.239
3.020	22.514	0.239
3.030	22.724	0.239
3.040	22.965	0.239
3.050	23.201	0.239
3.060	23.450	0.239
3.070	23.721	0.239
3.080	23.991	0.239
3.090	24.283	0.239
3.100	24.567	0.239
3.110	24.850	0.239
3.120	25.151	0.239
3.130	25.434	0.239
3.140	25.718	0.239
3.150	26.010	0.239
3.160	26.272	0.239
3.170	26.529	0.239
3.180	26.787	0.239
3.190	27.023	0.239
3.200	27.234	0.239
3.210	27.448	0.239
3.220	27.628	0.239
3.230	27.805	0.239
3.240	27.942	0.239
3.250	28.062	0.239
3.260	28.169	0.239
3.270	28.238	0.239
3.280	28.285	0.239
3.290	28.323	0.239
3.300	28.319	0.239
3.310	28.292	0.239
3.320	28.257	0.239
3.330	28.180	0.239
3.340	28.081	0.239
3.350	27.968	0.239
3.360	27.822	0.239
3.370	27.671	0.239
3.380	27.482	0.239
3.390	27.275	0.239
3.400	27.064	0.239
3.410	26.823	0.239
3.420	26.573	0.239
3.430	26.324	0.239
3.440	26.052	0.239
3.450	25.764	0.239
3.460	25.489	0.239
3.470	25.200	0.239
3.480	24.908	0.239
3.490	24.628	0.239
3.500	24.335	0.239
3.510	24.060	0.239
3.520	23.780	0.239
3.530	23.504	0.239
3.540	23.255	0.239
3.550	23.005	0.239
3.560	22.764	0.239
3.570	22.562	0.239
3.580	22.363	0.239
3.590	22.174	0.239
3.600	22.032	0.239
3.610	21.890	0.239
3.620	21.769	0.239
3.630	21.691	0.239
3.640	21.622	0.239
3.650	21.587	0.239
3.660	21.561	0.239
3.670	21.565	0.239
3.680	21.604	0.239
3.690	21.655	0.239
3.700	21.724	0.239
3.710	21.835	0.239
3.720	21.964	0.239
3.730	22.101	0.239
3.740	22.290	0.239
3.750	22.470	0.239
3.760	22.676	0.239
3.770	22.908	0.239
3.780	23.140	0.239
3.790	23.402	0.239
3.800	23.659	0.239
3.810	23.930	0.239
3.820	24.218	0.239
3.830	24.493	0.239
3.840	24.776	0.239
3.850	25.081	0.239
3.860	25.369	0.239
3.870	25.648	0.239
3.880	25.940	0.239
3.890	26.202	0.239
3.900	26.464	0.239
3.910	26.731	0.239
3.920	26.962	0.239
3.930	27.198	0.239
3.940	27.400	0.239
3.950	27.585	0.239
